Comunidad;Codigo Provincia;Provincia;Municipio;Votos;blancos;nulos;P.P.;P.S.O.E.;I.U.;CiU;UPyD
Andalucía                     ;4;Almería                       ;Abla                                                                                                ;925;6;7;403;516;0;0;0
Andalucía                     ;4;Almería                       ;Abrucena                                                                                            ;1.017;2;8;550;461;4;0;0
Andalucía                     ;4;Almería                       ;Adra                                                                                                ;10.964;190;131;6.763;3.363;370;0;0
Andalucía                     ;4;Almería                       ;Albánchez                                                                                           ;504;19;2;175;310;0;0;0
Andalucía                     ;4;Almería                       ;Alboloduy                                                                                           ;588;8;7;346;234;0;0;0
Andalucía                     ;4;Almería                       ;Albox                                                                                               ;5.515;115;38;2.334;2.785;161;0;0
Andalucía                     ;4;Almería                       ;Alcolea                                                                                             ;673;1;4;26;369;277;0;0
Andalucía                     ;4;Almería                       ;Alcóntar                                                                                            ;488;2;4;359;127;0;0;0
Andalucía                     ;4;Almería                       ;Alcudia de Monteagud                                                                                ;148;3;2;12;43;0;0;0
Andalucía                     ;4;Almería                       ;Alhabia                                                                                             ;524;5;1;197;300;22;0;0
Andalucía                     ;4;Almería                       ;Alhama de Almería                                                                                   ;2.492;15;18;1.300;985;192;0;0
Andalucía                     ;4;Almería                       ;Alicún                                                                                              ;229;0;1;139;90;0;0;0
Andalucía                     ;4;Almería                       ;Almería                                                                                             ;76.559;1.784;1.054;44.785;17.474;6.615;0;2.814
Andalucía                     ;4;Almería                       ;Almócita                                                                                            ;142;2;3;39;97;0;0;0
Andalucía                     ;4;Almería                       ;Alsodux                                                                                             ;139;3;0;34;75;0;0;0
Andalucía                     ;4;Almería                       ;Antas                                                                                               ;1.853;29;20;955;603;0;0;0
Andalucía                     ;4;Almería                       ;Arboleas                                                                                            ;1.830;13;8;233;515;0;0;0
Andalucía                     ;4;Almería                       ;Armuña de Almanzora                                                                                 ;250;5;8;49;196;0;0;0
Andalucía                     ;4;Almería                       ;Bacares                                                                                             ;239;4;2;85;150;0;0;0
Andalucía                     ;4;Almería                       ;Bayárcal                                                                                            ;338;0;5;108;230;0;0;0
Andalucía                     ;4;Almería                       ;Bayarque                                                                                            ;182;3;4;63;114;0;0;0
Andalucía                     ;4;Almería                       ;Bédar                                                                                               ;474;4;4;143;327;0;0;0
Andalucía                     ;4;Almería                       ;Beires                                                                                              ;123;0;2;75;42;0;0;0
Andalucía                     ;4;Almería                       ;Benahadux                                                                                           ;2.592;33;10;1.143;1.340;76;0;0
Andalucía                     ;4;Almería                       ;Benitagla                                                                                           ;59;1;6;52;0;2;0;0
Andalucía                     ;4;Almería                       ;Benizalón                                                                                           ;226;0;0;160;66;0;0;0
Andalucía                     ;4;Almería                       ;Bentarique                                                                                          ;226;1;3;63;143;19;0;0
Andalucía                     ;4;Almería                       ;Berja                                                                                               ;7.608;78;87;4.269;2.681;309;0;0
Andalucía                     ;4;Almería                       ;Canjáyar                                                                                            ;986;11;11;645;292;38;0;0
Andalucía                     ;4;Almería                       ;Cantoria                                                                                            ;2.341;19;15;1.310;910;102;0;0
Andalucía                     ;4;Almería                       ;Carboneras                                                                                          ;4.633;43;31;1.205;1.646;298;0;0
Andalucía                     ;4;Almería                       ;Castro de Filabres                                                                                  ;146;1;3;39;104;0;0;0
Andalucía                     ;4;Almería                       ;Cóbdar                                                                                              ;122;6;1;27;88;0;0;0
Andalucía                     ;4;Almería                       ;Cuevas del Almanzora                                                                                ;6.209;54;59;3.311;1.887;210;0;0
Andalucía                     ;4;Almería                       ;Chercos                                                                                             ;233;4;0;140;89;0;0;0
Andalucía                     ;4;Almería                       ;Chirivel                                                                                            ;1.159;13;12;277;677;27;0;0
Andalucía                     ;4;Almería                       ;Dalías                                                                                              ;2.526;44;28;551;767;195;0;0
Andalucía                     ;4;Almería                       ;Enix                                                                                                ;319;2;1;115;47;7;0;0
Andalucía                     ;4;Almería                       ;Felix                                                                                               ;491;4;6;280;140;0;0;0
Andalucía                     ;4;Almería                       ;Fines                                                                                               ;1.440;24;10;869;547;0;0;0
Andalucía                     ;4;Almería                       ;Fiñana                                                                                              ;1.488;9;16;427;745;197;0;0
Andalucía                     ;4;Almería                       ;Fondón                                                                                              ;709;16;5;308;277;0;0;0
Andalucía                     ;4;Almería                       ;Gádor                                                                                               ;2.086;22;30;1.257;807;0;0;0
Andalucía                     ;4;Almería                       ;Gallardos (Los)                                                                                     ;1.367;10;16;378;891;88;0;0
Andalucía                     ;4;Almería                       ;Garrucha                                                                                            ;3.789;90;57;1.914;1.785;0;0;0
Andalucía                     ;4;Almería                       ;Gérgal                                                                                              ;742;7;5;263;323;149;0;0
Andalucía                     ;4;Almería                       ;Huécija                                                                                             ;448;8;0;209;231;0;0;0
Andalucía                     ;4;Almería                       ;Huércal de Almería                                                                                  ;7.102;191;79;2.686;1.113;283;0;247
Andalucía                     ;4;Almería                       ;Huércal-Overa                                                                                       ;9.158;185;112;4.547;4.057;0;0;0
Andalucía                     ;4;Almería                       ;Illar                                                                                               ;354;5;4;229;120;0;0;0
Andalucía                     ;4;Almería                       ;Instinción                                                                                          ;383;1;1;137;245;0;0;0
Andalucía                     ;4;Almería                       ;Laroya                                                                                              ;147;2;1;89;55;0;0;0
Andalucía                     ;4;Almería                       ;Láujar de Andarax                                                                                   ;1.202;12;21;409;454;62;0;0
Andalucía                     ;4;Almería                       ;Líjar                                                                                               ;384;5;1;89;156;0;0;0
Andalucía                     ;4;Almería                       ;Lubrín                                                                                              ;1.074;10;9;420;644;0;0;0
Andalucía                     ;4;Almería                       ;Lucainena de las Torres                                                                             ;419;4;6;256;114;0;0;0
Andalucía                     ;4;Almería                       ;Lúcar                                                                                               ;629;3;2;129;340;0;0;0
Andalucía                     ;4;Almería                       ;Macael                                                                                              ;3.953;44;29;2.250;1.472;187;0;0
Andalucía                     ;4;Almería                       ;María                                                                                               ;983;6;9;375;367;0;0;0
Andalucía                     ;4;Almería                       ;Mojácar                                                                                             ;2.829;16;18;1.122;313;115;0;31
Andalucía                     ;4;Almería                       ;Nacimiento                                                                                          ;332;3;4;106;223;0;0;0
Andalucía                     ;4;Almería                       ;Níjar                                                                                               ;9.571;107;43;4.704;3.230;528;0;0
Andalucía                     ;4;Almería                       ;Ohanes                                                                                              ;554;6;6;185;355;8;0;0
Andalucía                     ;4;Almería                       ;Olula de Castro                                                                                     ;183;0;2;69;27;0;0;0
Andalucía                     ;4;Almería                       ;Olula del Río                                                                                       ;3.850;47;50;2.221;1.582;0;0;0
Andalucía                     ;4;Almería                       ;Oria                                                                                                ;1.535;8;11;755;735;37;0;0
Andalucía                     ;4;Almería                       ;Padules                                                                                             ;382;8;5;111;258;5;0;0
Andalucía                     ;4;Almería                       ;Partaloa                                                                                            ;512;2;5;103;202;0;0;0
Andalucía                     ;4;Almería                       ;Paterna del Río                                                                                     ;327;4;3;54;170;0;0;0
Andalucía                     ;4;Almería                       ;Pechina                                                                                             ;2.052;25;26;687;796;156;0;0
Andalucía                     ;4;Almería                       ;Pulpí                                                                                               ;4.024;21;23;2.052;1.860;91;0;0
Andalucía                     ;4;Almería                       ;Purchena                                                                                            ;1.142;7;16;390;745;0;0;0
Andalucía                     ;4;Almería                       ;Rágol                                                                                               ;340;6;0;213;121;0;0;0
Andalucía                     ;4;Almería                       ;Rioja                                                                                               ;925;3;9;215;260;447;0;0
Andalucía                     ;4;Almería                       ;Roquetas de Mar                                                                                     ;25.120;633;266;14.804;4.569;2.801;0;894
Andalucía                     ;4;Almería                       ;Santa Cruz de Marchena                                                                              ;192;0;0;95;14;0;0;0
Andalucía                     ;4;Almería                       ;Santa Fe de Mondújar                                                                                ;347;1;3;107;180;59;0;0
Andalucía                     ;4;Almería                       ;Senés                                                                                               ;266;2;0;221;43;0;0;0
Andalucía                     ;4;Almería                       ;Serón                                                                                               ;1.561;31;18;625;905;0;0;0
Andalucía                     ;4;Almería                       ;Sierro                                                                                              ;328;4;4;146;98;32;0;0
Andalucía                     ;4;Almería                       ;Somontín                                                                                            ;432;1;4;276;155;0;0;0
Andalucía                     ;4;Almería                       ;Sorbas                                                                                              ;1.633;14;6;895;498;0;0;0
Andalucía                     ;4;Almería                       ;Suflí                                                                                               ;184;0;0;114;11;0;0;0
Andalucía                     ;4;Almería                       ;Tabernas                                                                                            ;2.017;27;12;936;827;76;0;0
Andalucía                     ;4;Almería                       ;Taberno                                                                                             ;806;7;2;429;370;0;0;0
Andalucía                     ;4;Almería                       ;Tahal                                                                                               ;454;1;1;206;242;5;0;0
Andalucía                     ;4;Almería                       ;Terque                                                                                              ;344;6;6;110;228;0;0;0
Andalucía                     ;4;Almería                       ;Tíjola                                                                                              ;2.588;13;23;1.403;692;86;0;0
Andalucía                     ;4;Almería                       ;Turre                                                                                               ;1.806;15;13;879;525;217;0;0
Andalucía                     ;4;Almería                       ;Turrillas                                                                                           ;164;0;7;131;3;27;0;0
Andalucía                     ;4;Almería                       ;Uleila del Campo                                                                                    ;651;1;2;93;274;66;0;0
Andalucía                     ;4;Almería                       ;Urrácal                                                                                             ;278;2;6;124;152;0;0;0
Andalucía                     ;4;Almería                       ;Velefique                                                                                           ;269;0;0;53;43;173;0;0
Andalucía                     ;4;Almería                       ;Vélez-Blanco                                                                                        ;1.250;22;24;390;838;0;0;0
Andalucía                     ;4;Almería                       ;Vélez-Rubio                                                                                         ;3.952;60;79;1.322;1.544;0;0;0
Andalucía                     ;4;Almería                       ;Vera                                                                                                ;5.310;71;43;2.290;686;117;0;0
Andalucía                     ;4;Almería                       ;Viator                                                                                              ;2.786;35;22;1.423;1.264;64;0;0
Andalucía                     ;4;Almería                       ;Vícar                                                                                               ;8.557;145;65;3.138;4.498;776;0;0
Andalucía                     ;4;Almería                       ;Zurgena                                                                                             ;1.733;7;12;430;575;0;0;0
Andalucía                     ;4;Almería                       ;Tres Villas (Las)                                                                                   ;546;5;4;100;309;132;0;0
Andalucía                     ;4;Almería                       ;Ejido (El)                                                                                          ;26.700;619;267;13.100;4.292;2.162;0;2.453
Andalucía                     ;4;Almería                       ;Mojonera (La)                                                                                       ;2.903;43;52;1.827;971;62;0;0
Andalucía                     ;11;Cádiz                         ;Alcalá de los Gazules                                                                               ;3.190;38;41;999;1.483;640;0;0
Andalucía                     ;11;Cádiz                         ;Alcalá del Valle                                                                                    ;3.892;25;13;205;1.640;2.022;0;0
Andalucía                     ;11;Cádiz                         ;Algar                                                                                               ;1.075;9;3;278;500;63;0;0
Andalucía                     ;11;Cádiz                         ;Algeciras                                                                                           ;43.368;1.448;739;22.463;8.104;5.301;0;1.346
Andalucía                     ;11;Cádiz                         ;Algodonales                                                                                         ;3.222;51;79;679;1.896;383;0;0
Andalucía                     ;11;Cádiz                         ;Arcos de la Frontera                                                                                ;16.472;193;126;5.070;4.501;581;0;0
Andalucía                     ;11;Cádiz                         ;Barbate                                                                                             ;10.434;376;148;2.441;4.776;680;0;0
Andalucía                     ;11;Cádiz                         ;Barrios (Los)                                                                                       ;11.096;230;134;2.474;1.859;369;0;0
Andalucía                     ;11;Cádiz                         ;Benaocaz                                                                                            ;506;5;11;251;207;0;0;0
Andalucía                     ;11;Cádiz                         ;Bornos                                                                                              ;5.071;67;28;1.528;1.772;1.522;0;0
Andalucía                     ;11;Cádiz                         ;Bosque (El)                                                                                         ;1.323;9;13;442;430;62;0;0
Andalucía                     ;11;Cádiz                         ;Cádiz                                                                                               ;58.651;1.214;742;33.046;13.035;5.559;0;2.131
Andalucía                     ;11;Cádiz                         ;Castellar de la Frontera                                                                            ;1.844;17;30;206;834;787;0;0
Andalucía                     ;11;Cádiz                         ;Conil de la Frontera                                                                                ;10.443;200;98;1.559;3.465;4.383;0;0
Andalucía                     ;11;Cádiz                         ;Chiclana de la Frontera                                                                             ;30.688;791;445;11.434;10.086;2.334;0;844
Andalucía                     ;11;Cádiz                         ;Chipiona                                                                                            ;10.408;165;103;4.576;4.005;1.119;0;0
Andalucía                     ;11;Cádiz                         ;Espera                                                                                              ;2.633;22;31;378;445;1.585;0;0
Andalucía                     ;11;Cádiz                         ;Gastor (El)                                                                                         ;1.299;14;10;322;516;9;0;0
Andalucía                     ;11;Cádiz                         ;Grazalema                                                                                           ;1.539;12;29;456;589;327;0;0
Andalucía                     ;11;Cádiz                         ;Jerez de la Frontera                                                                                ;98.090;2.324;1.047;45.667;14.358;11.272;0;2.992
Andalucía                     ;11;Cádiz                         ;Jimena de la Frontera                                                                               ;5.427;83;61;2.162;1.936;757;0;0
Andalucía                     ;11;Cádiz                         ;Línea de la Concepción (La)                                                                         ;25.432;590;293;10.409;8.930;2.246;0;0
Andalucía                     ;11;Cádiz                         ;Medina-Sidonia                                                                                      ;7.171;50;34;719;2.789;3.470;0;0
Andalucía                     ;11;Cádiz                         ;Olvera                                                                                              ;5.428;31;34;908;2.172;2.317;0;0
Andalucía                     ;11;Cádiz                         ;Paterna de Rivera                                                                                   ;3.494;95;52;694;1.574;579;0;0
Andalucía                     ;11;Cádiz                         ;Prado del Rey                                                                                       ;3.789;45;50;2.004;1.096;522;0;0
Andalucía                     ;11;Cádiz                         ;Puerto de Santa María (El)                                                                          ;35.412;915;431;13.440;4.886;4.639;0;1.144
Andalucía                     ;11;Cádiz                         ;Puerto Real                                                                                         ;18.728;435;178;1.991;2.061;1.920;0;470
Andalucía                     ;11;Cádiz                         ;Puerto Serrano                                                                                      ;3.866;24;67;388;1.669;1.785;0;0
Andalucía                     ;11;Cádiz                         ;Rota                                                                                                ;13.563;337;221;4.001;2.855;1.137;0;420
Andalucía                     ;11;Cádiz                         ;San Fernando                                                                                        ;40.418;1.030;443;14.128;13.741;2.138;0;1.828
Andalucía                     ;11;Cádiz                         ;Sanlúcar de Barrameda                                                                               ;26.529;648;281;6.541;9.855;3.491;0;0
Andalucía                     ;11;Cádiz                         ;San Roque                                                                                           ;12.424;440;252;3.264;3.269;573;0;0
Andalucía                     ;11;Cádiz                         ;Setenil de las Bodegas                                                                              ;2.017;21;25;530;1.016;450;0;0
Andalucía                     ;11;Cádiz                         ;Tarifa                                                                                              ;9.518;159;140;3.773;2.749;692;0;0
Andalucía                     ;11;Cádiz                         ;Torre Alháquime                                                                                     ;606;27;4;133;339;107;0;0
Andalucía                     ;11;Cádiz                         ;Trebujena                                                                                           ;4.201;90;97;430;739;2.304;0;0
Andalucía                     ;11;Cádiz                         ;Ubrique                                                                                             ;10.618;172;148;3.494;3.808;931;0;0
Andalucía                     ;11;Cádiz                         ;Vejer de la Frontera                                                                                ;6.746;130;70;3.653;2.414;505;0;0
Andalucía                     ;11;Cádiz                         ;Villaluenga del Rosario                                                                             ;335;8;16;74;253;0;0;0
Andalucía                     ;11;Cádiz                         ;Villamartín                                                                                         ;7.006;116;113;849;2.430;591;0;0
Andalucía                     ;11;Cádiz                         ;Zahara                                                                                              ;1.056;13;10;178;541;1;0;0
Andalucía                     ;11;Cádiz                         ;Benalup-Casas Viejas                                                                                ;4.111;90;70;1.776;2.245;0;0;0
Andalucía                     ;11;Cádiz                         ;San José del Valle                                                                                  ;2.503;41;19;1.195;878;91;0;0
Andalucía                     ;14;Córdoba                       ;Adamuz                                                                                              ;3.204;51;45;821;1.277;802;0;0
Andalucía                     ;14;Córdoba                       ;Aguilar de la Frontera                                                                              ;7.925;144;73;1.142;2.154;1.513;0;0
Andalucía                     ;14;Córdoba                       ;Alcaracejos                                                                                         ;1.056;18;11;353;685;0;0;0
Andalucía                     ;14;Córdoba                       ;Almedinilla                                                                                         ;1.588;13;19;523;1.052;0;0;0
Andalucía                     ;14;Córdoba                       ;Almodóvar del Río                                                                                   ;4.454;49;25;668;1.662;2.075;0;0
Andalucía                     ;14;Córdoba                       ;Añora                                                                                               ;1.214;9;11;731;365;109;0;0
Andalucía                     ;14;Córdoba                       ;Baena                                                                                               ;11.105;200;143;3.459;5.077;2.039;0;0
Andalucía                     ;14;Córdoba                       ;Belalcázar                                                                                          ;2.340;17;30;489;456;698;0;0
Andalucía                     ;14;Córdoba                       ;Belmez                                                                                              ;2.263;15;7;231;911;1.031;0;0
Andalucía                     ;14;Córdoba                       ;Benamejí                                                                                            ;3.302;15;31;737;1.615;751;0;0
Andalucía                     ;14;Córdoba                       ;Blázquez (Los)                                                                                      ;550;5;5;255;290;0;0;0
Andalucía                     ;14;Córdoba                       ;Bujalance                                                                                           ;4.818;61;79;549;1.556;325;0;0
Andalucía                     ;14;Córdoba                       ;Cabra                                                                                               ;12.489;336;177;5.096;2.858;1.077;0;0
Andalucía                     ;14;Córdoba                       ;Cañete de las Torres                                                                                ;2.286;19;12;878;601;131;0;0
Andalucía                     ;14;Córdoba                       ;Carcabuey                                                                                           ;1.864;14;15;309;633;712;0;0
Andalucía                     ;14;Córdoba                       ;Cardeña                                                                                             ;1.244;13;14;133;514;584;0;0
Andalucía                     ;14;Córdoba                       ;Carlota (La)                                                                                        ;7.630;161;67;2.539;3.719;477;0;0
Andalucía                     ;14;Córdoba                       ;Carpio (El)                                                                                         ;3.062;31;39;1.049;777;1.205;0;0
Andalucía                     ;14;Córdoba                       ;Castro del Río                                                                                      ;5.232;89;50;1.234;1.700;1.781;0;0
Andalucía                     ;14;Córdoba                       ;Conquista                                                                                           ;358;1;3;161;196;0;0;0
Andalucía                     ;14;Córdoba                       ;Córdoba                                                                                             ;162.893;4.114;1.909;79.493;19.544;24.158;0;2.954
Andalucía                     ;14;Córdoba                       ;Doña Mencía                                                                                         ;3.230;35;43;543;1.591;1.061;0;0
Andalucía                     ;14;Córdoba                       ;Dos Torres                                                                                          ;1.864;26;9;1.091;747;0;0;0
Andalucía                     ;14;Córdoba                       ;Encinas Reales                                                                                      ;1.594;24;51;622;701;127;0;0
Andalucía                     ;14;Córdoba                       ;Espejo                                                                                              ;2.692;42;59;419;1.036;1.195;0;0
Andalucía                     ;14;Córdoba                       ;Espiel                                                                                              ;1.508;10;24;904;389;205;0;0
Andalucía                     ;14;Córdoba                       ;Fernán-Núñez                                                                                        ;5.787;110;83;1.048;1.725;2.285;0;0
Andalucía                     ;14;Córdoba                       ;Fuente la Lancha                                                                                    ;321;1;2;37;188;0;0;0
Andalucía                     ;14;Córdoba                       ;Fuente Obejuna                                                                                      ;3.334;38;62;1.539;1.273;0;0;0
Andalucía                     ;14;Córdoba                       ;Fuente Palmera                                                                                      ;6.317;98;53;1.606;2.311;1.130;0;0
Andalucía                     ;14;Córdoba                       ;Fuente-Tójar                                                                                        ;544;4;5;153;248;0;0;0
Andalucía                     ;14;Córdoba                       ;Granjuela (La)                                                                                      ;383;5;5;148;230;0;0;0
Andalucía                     ;14;Córdoba                       ;Guadalcázar                                                                                         ;1.006;23;16;440;465;78;0;0
Andalucía                     ;14;Córdoba                       ;Guijo (El)                                                                                          ;322;6;7;49;178;0;0;0
Andalucía                     ;14;Córdoba                       ;Hinojosa del Duque                                                                                  ;4.896;88;90;2.537;2.271;0;0;0
Andalucía                     ;14;Córdoba                       ;Hornachuelos                                                                                        ;2.849;87;34;353;738;704;0;0
Andalucía                     ;14;Córdoba                       ;Iznájar                                                                                             ;2.698;30;31;778;1.459;0;0;0
Andalucía                     ;14;Córdoba                       ;Lucena                                                                                              ;20.839;365;201;8.505;7.726;2.860;0;506
Andalucía                     ;14;Córdoba                       ;Luque                                                                                               ;2.347;14;25;882;1.090;361;0;0
Andalucía                     ;14;Córdoba                       ;Montalbán de Córdoba                                                                                ;3.063;47;27;871;928;1.217;0;0
Andalucía                     ;14;Córdoba                       ;Montemayor                                                                                          ;2.625;33;28;389;1.007;801;0;0
Andalucía                     ;14;Córdoba                       ;Montilla                                                                                            ;13.441;475;213;5.091;3.432;3.291;0;0
Andalucía                     ;14;Córdoba                       ;Montoro                                                                                             ;5.797;89;48;1.459;2.859;1.129;0;0
Andalucía                     ;14;Córdoba                       ;Monturque                                                                                           ;1.323;11;11;271;609;9;0;0
Andalucía                     ;14;Córdoba                       ;Moriles                                                                                             ;2.687;40;38;502;1.347;17;0;0
Andalucía                     ;14;Córdoba                       ;Nueva Carteya                                                                                       ;3.911;46;38;286;1.198;2.381;0;0
Andalucía                     ;14;Córdoba                       ;Obejo                                                                                               ;1.173;27;6;474;366;32;0;0
Andalucía                     ;14;Córdoba                       ;Palenciana                                                                                          ;1.107;4;19;132;408;25;0;0
Andalucía                     ;14;Córdoba                       ;Palma del Río                                                                                       ;10.159;204;100;2.657;4.124;1.145;0;0
Andalucía                     ;14;Córdoba                       ;Pedro Abad                                                                                          ;1.991;20;34;418;683;789;0;0
Andalucía                     ;14;Córdoba                       ;Pedroche                                                                                            ;1.225;26;33;587;612;0;0;0
Andalucía                     ;14;Córdoba                       ;Peñarroya-Pueblonuevo                                                                               ;6.213;81;59;2.964;2.588;337;0;0
Andalucía                     ;14;Córdoba                       ;Posadas                                                                                             ;4.387;94;61;1.838;1.226;683;0;0
Andalucía                     ;14;Córdoba                       ;Pozoblanco                                                                                          ;10.467;186;208;3.224;2.239;653;0;0
Andalucía                     ;14;Córdoba                       ;Priego de Córdoba                                                                                   ;13.036;281;249;4.609;2.884;1.109;0;0
Andalucía                     ;14;Córdoba                       ;Puente Genil                                                                                        ;15.659;264;156;3.835;6.154;4.068;0;667
Andalucía                     ;14;Córdoba                       ;Rambla (La)                                                                                         ;5.100;46;32;1.008;1.693;2.141;0;0
Andalucía                     ;14;Córdoba                       ;Rute                                                                                                ;6.143;106;84;1.762;2.472;1.803;0;0
Andalucía                     ;14;Córdoba                       ;San Sebastián de los Ballesteros                                                                    ;635;10;6;327;289;9;0;0
Andalucía                     ;14;Córdoba                       ;Santaella                                                                                           ;3.757;47;83;583;1.179;548;0;0
Andalucía                     ;14;Córdoba                       ;Santa Eufemia                                                                                       ;720;8;15;260;399;53;0;0
Andalucía                     ;14;Córdoba                       ;Torrecampo                                                                                          ;929;15;11;488;406;20;0;0
Andalucía                     ;14;Córdoba                       ;Valenzuela                                                                                          ;954;6;16;299;438;211;0;0
Andalucía                     ;14;Córdoba                       ;Valsequillo                                                                                         ;309;5;6;99;178;27;0;0
Andalucía                     ;14;Córdoba                       ;Victoria (La)                                                                                       ;1.399;17;28;458;724;200;0;0
Andalucía                     ;14;Córdoba                       ;Villa del Río                                                                                       ;4.439;106;63;235;1.397;1.231;0;0
Andalucía                     ;14;Córdoba                       ;Villafranca de Córdoba                                                                              ;3.035;58;33;971;1.421;585;0;0
Andalucía                     ;14;Córdoba                       ;Villaharta                                                                                          ;445;34;12;100;311;0;0;0
Andalucía                     ;14;Córdoba                       ;Villanueva de Córdoba                                                                               ;5.837;121;71;2.493;2.846;377;0;0
Andalucía                     ;14;Córdoba                       ;Villanueva del Duque                                                                                ;1.137;6;48;699;432;0;0;0
Andalucía                     ;14;Córdoba                       ;Villanueva del Rey                                                                                  ;818;20;5;250;381;167;0;0
Andalucía                     ;14;Córdoba                       ;Villaralto                                                                                          ;1.041;5;7;159;428;449;0;0
Andalucía                     ;14;Córdoba                       ;Villaviciosa de Córdoba                                                                             ;2.253;76;45;1.098;983;96;0;0
Andalucía                     ;14;Córdoba                       ;Viso (El)                                                                                           ;2.068;16;14;485;1.352;215;0;0
Andalucía                     ;14;Córdoba                       ;Zuheros                                                                                             ;496;10;27;144;292;7;0;0
Andalucía                     ;18;Granada                       ;Agrón                                                                                               ;245;7;4;90;130;0;0;0
Andalucía                     ;18;Granada                       ;Alamedilla                                                                                          ;544;8;4;68;322;55;0;0
Andalucía                     ;18;Granada                       ;Albolote                                                                                            ;8.968;218;167;4.134;2.759;1.047;0;0
Andalucía                     ;18;Granada                       ;Albondón                                                                                            ;736;12;15;219;505;0;0;0
Andalucía                     ;18;Granada                       ;Albuñán                                                                                             ;293;4;4;57;65;0;0;0
Andalucía                     ;18;Granada                       ;Albuñol                                                                                             ;3.310;46;61;942;1.308;0;0;0
Andalucía                     ;18;Granada                       ;Albuñuelas                                                                                          ;638;25;14;280;258;0;0;0
Andalucía                     ;18;Granada                       ;Aldeire                                                                                             ;471;9;4;22;216;0;0;0
